epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,173.073,1.03147,0.7965,1.38382,0.85262,0.79383,0.86767,0.55062,1.52686,0.84172,2.32425,0.000254541,0.000254541,0.000254541
67,175.363,1.05122,0.83428,1.42027,0.82803,0.71922,0.82855,0.5455,1.45549,0.89853,2.25165,0.000247472,0.000247472,0.000247472
68,177.802,1.02188,0.78841,1.36977,0.83414,0.72619,0.79098,0.49543,1.49961,1.09298,2.32933,0.000240404,0.000240404,0.000240404
69,180.064,1.01532,0.79504,1.4005,0.82511,0.73383,0.80125,0.48502,1.59278,1.1814,2.43438,0.000233335,0.000233335,0.000233335
70,182.417,1.02741,0.75789,1.39366,0.79578,0.73219,0.84346,0.4745,1.67932,1.2033,2.45966,0.000226267,0.000226267,0.000226267
71,185.659,1.02529,0.81582,1.41317,0.94993,0.69048,0.82289,0.49076,1.79936,1.23365,2.58418,0.000219198,0.000219198,0.000219198
72,188.1,1.02448,0.76546,1.38863,0.7832,0.72619,0.83903,0.48939,1.82068,1.18184,2.652,0.000212129,0.000212129,0.000212129
73,190.419,1.08304,0.75251,1.36998,0.83901,0.72619,0.83395,0.50574,1.66787,1.10769,2.48629,0.000205061,0.000205061,0.000205061
74,192.86,0.97279,0.71174,1.36897,0.92934,0.74716,0.84306,0.5283,1.62087,0.9323,2.41651,0.000197992,0.000197992,0.000197992
75,195.226,1.01973,0.78663,1.399,0.89396,0.79468,0.90643,0.55371,1.65147,0.82937,2.39721,0.000190924,0.000190924,0.000190924
76,198.316,0.97428,0.74477,1.37601,0.9228,0.81375,0.89294,0.5671,1.65136,0.88952,2.40188,0.000183855,0.000183855,0.000183855
77,200.834,0.93627,0.71982,1.33984,0.92339,0.80817,0.90119,0.57303,1.6195,0.85636,2.38911,0.000176786,0.000176786,0.000176786
78,203.197,0.96973,0.71664,1.32268,0.90247,0.78784,0.9151,0.57897,1.56739,0.86893,2.28964,0.000169718,0.000169718,0.000169718
79,205.524,1.03152,0.79813,1.4007,0.89866,0.78504,0.91384,0.59632,1.55071,0.87364,2.2829,0.000162649,0.000162649,0.000162649
80,207.886,0.89415,0.69407,1.30888,0.80759,0.85588,0.91384,0.55608,1.57099,0.83688,2.27333,0.000155581,0.000155581,0.000155581
81,210.743,0.95143,0.73048,1.29196,0.89196,0.85825,0.9151,0.5647,1.58317,0.78553,2.2738,0.000148512,0.000148512,0.000148512
82,213.581,1.0015,0.77478,1.34612,0.89761,0.88095,0.8926,0.54395,1.67949,0.79234,2.34543,0.000141443,0.000141443,0.000141443
83,215.89,1.01231,0.75044,1.38155,0.8972,0.88095,0.89462,0.53815,1.69524,0.77229,2.32402,0.000134375,0.000134375,0.000134375
84,218.235,0.96591,0.74456,1.32986,0.88837,0.88095,0.89384,0.56174,1.62038,0.76462,2.20732,0.000127306,0.000127306,0.000127306
85,220.602,0.8917,0.66469,1.3075,0.88666,0.88095,0.89277,0.5698,1.5522,0.69365,2.14696,0.000120238,0.000120238,0.000120238
86,223.312,0.98177,0.71037,1.30581,0.89477,0.87259,0.8967,0.58747,1.55224,0.69774,2.16228,0.000113169,0.000113169,0.000113169
87,226.243,0.8378,0.67814,1.2784,0.89973,0.86999,0.8967,0.58396,1.55614,0.67788,2.18966,0.0001061,0.0001061,0.0001061
88,228.679,0.87871,0.6349,1.29225,0.89915,0.87376,0.90607,0.54463,1.60813,0.70279,2.26169,9.90318e-05,9.90318e-05,9.90318e-05
89,231.03,0.92042,0.65452,1.27281,0.89716,0.8751,0.90607,0.54495,1.62761,0.72166,2.3215,9.19632e-05,9.19632e-05,9.19632e-05
90,233.471,0.90106,0.65749,1.26723,0.86566,0.8711,0.912,0.56497,1.67989,0.75727,2.40653,8.48946e-05,8.48946e-05,8.48946e-05
91,238.868,0.829,0.60835,1.29549,0.92407,0.81273,0.91686,0.55981,1.69199,0.77555,2.43366,7.7826e-05,7.7826e-05,7.7826e-05
92,241.565,0.91201,0.63735,1.42038,0.93363,0.81024,0.90574,0.56812,1.69185,0.78351,2.47577,7.07574e-05,7.07574e-05,7.07574e-05
93,243.852,0.86077,0.61955,1.38912,0.93349,0.80963,0.89968,0.57362,1.68751,0.79873,2.52038,6.36888e-05,6.36888e-05,6.36888e-05
94,246.278,0.81469,0.57821,1.35617,0.93324,0.80683,0.89839,0.58236,1.69619,0.81528,2.58111,5.66202e-05,5.66202e-05,5.66202e-05
95,248.805,0.782,0.57121,1.31191,0.93249,0.80905,0.89641,0.58699,1.71679,0.82521,2.60104,4.95516e-05,4.95516e-05,4.95516e-05
96,252.078,0.73279,0.54065,1.27078,0.92779,0.8097,0.89641,0.57069,1.70197,0.83538,2.55586,4.2483e-05,4.2483e-05,4.2483e-05
97,254.426,0.80437,0.57946,1.31592,0.92733,0.81178,0.89732,0.57515,1.68362,0.80987,2.51972,3.54144e-05,3.54144e-05,3.54144e-05
98,256.848,0.74895,0.52241,1.28558,0.9252,0.81206,0.89564,0.5799,1.66292,0.81523,2.49484,2.83458e-05,2.83458e-05,2.83458e-05
99,259.138,0.74952,0.53552,1.2448,0.92302,0.81236,0.89496,0.58349,1.64951,0.81316,2.48169,2.12772e-05,2.12772e-05,2.12772e-05
100,261.553,0.79092,0.51461,1.25614,0.91998,0.81196,0.89255,0.58278,1.6266,0.82478,2.43747,1.42086e-05,1.42086e-05,1.42086e-05
